route_number,origin,destination,stop_sequence,stop_name
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,1,Bhubaneswar Railway Station
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,2,Raj Mahal Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,3,State Museum
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,4,Ravi Talkies
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,5,Dhauli Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,6,Uttara Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,7,Pipili Bypass
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,8,Pipili Over Bridge Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,9,Satasankha
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,10,Sakhigopal
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,11,Jagannath Ballav Parking
9 UP,Bhubaneswar Railway Station,Patia Square,1,Bhubaneswar Rly. Stn.
9 UP,Bhubaneswar Railway Station,Patia Square,2,Master Canteen (Janpath)
9 UP,Bhubaneswar Railway Station,Patia Square,3,Abhin Chandra Homoeopathic Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,4,OSSA House
9 UP,Bhubaneswar Railway Station,Patia Square,5,Keshari Talkies
9 UP,Bhubaneswar Railway Station,Patia Square,6,Housing Board Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,7,Xavier Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,8,Rotary Bhawan
9 UP,Bhubaneswar Railway Station,Patia Square,9,Nico Park Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,10,Ananda Bazaar
9 UP,Bhubaneswar Railway Station,Patia Square,11,Acharya Vihar Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,12,IMMT
9 UP,Bhubaneswar Railway Station,Patia Square,13,Jaydev Vihar Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,14,Pal Heights
9 UP,Bhubaneswar Railway Station,Patia Square,15,Mayfair Road
9 UP,Bhubaneswar Railway Station,Patia Square,16,Janata Maidan
9 UP,Bhubaneswar Railway Station,Patia Square,17,Xavier Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,18,Fortune Tower
9 UP,Bhubaneswar Railway Station,Patia Square,19,Kalinga Hospital Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,20,Rail Sadan
9 UP,Bhubaneswar Railway Station,Patia Square,21,Omfed Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,22,BDA Colony
9 UP,Bhubaneswar Railway Station,Patia Square,23,Care Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,24,Lumbini Vihar
9 UP,Bhubaneswar Railway Station,Patia Square,25,Budha Park
9 UP,Bhubaneswar Railway Station,Patia Square,26,Isaneswar Temple
9 UP,Bhubaneswar Railway Station,Patia Square,27,Defence Colony
9 UP,Bhubaneswar Railway Station,Patia Square,28,Utkal Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,29,Niladri Vihar Basti
9 UP,Bhubaneswar Railway Station,Patia Square,30,Power Grid Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,31,Niladri Vihar Hanuman Temple
9 UP,Bhubaneswar Railway Station,Patia Square,32,Kailash Vihar
9 UP,Bhubaneswar Railway Station,Patia Square,33,Sai Enclave
9 UP,Bhubaneswar Railway Station,Patia Square,34,Trident College
9 UP,Bhubaneswar Railway Station,Patia Square,35,Infocity Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,36,DLF Cyber City
9 UP,Bhubaneswar Railway Station,Patia Square,37,Silicon College
9 UP,Bhubaneswar Railway Station,Patia Square,38,Shikharchandi
9 UP,Bhubaneswar Railway Station,Patia Square,39,KIMS Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,40,LV Prasad Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,41,Sai International School
9 UP,Bhubaneswar Railway Station,Patia Square,42,CIPET
9 UP,Bhubaneswar Railway Station,Patia Square,43,Koustav College
9 UP,Bhubaneswar Railway Station,Patia Square,44,Patia Sq.
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,1,Manu University (Cuttack)
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,2,Biju Patnaik Park (Cuttack)
