route_number,origin,destination,stop_sequence,stop_name,latitude,longitude
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,1,Bhubaneswar Railway Station,20.2648,85.84
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,2,Raj Mahal Square,20.2706,85.8432
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,3,State Museum,20.2701,85.8369
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,4,Ravi Talkies,20.2597,85.8333
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,5,Dhauli Square,20.1926,85.8392
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,6,Uttara Square,20.1555,85.8292
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,7,Pipili Bypass,20.1156,85.8318
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,8,Pipili Over Bridge Square,20.1133,85.8325
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,9,Satasankha,20.0455,85.859
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,10,Sakhigopal,19.9792,85.8328
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,11,Jagannath Ballav Parking,19.8075,85.8312
